"Distribuidor ","Area","Articulo","Descripcion","Cantidad","Capacidad","Linea","Rubro"
"LEGOS S.R.L","GBA Norte","300060093","Pehuamar Paliqueso 620gx6x1","83","51.46","Bronze/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060192","Doritos Queso 77gx26","17455","1344035","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060195","Lays Clasicas 85gx25x1","12221","1038785","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060661","3d Queso 85gx27x1","8948","760.58","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060664","Cheetos Queso 85gx24x1","8066","685.61","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300062697","Doritos Dinamita Fh 70gx44x1","5929","415.03","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052756","Pep Rueditas 120grx21","2979","357.48","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300061010","Cheetos Queso Crema 85gx24","2910","247.35","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060098","Lays Queso Y Cebolla 77gx28","2793","215061","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300059811","Lays Ondas Fh 70gx28","2490","174.3","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060230","Lays Jamon Serrano 77gx28","","191576","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300062584","Lays Provoleta 77gx28x1","2180","167.86","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060099","Lays Ketchup 77gx28x1","2062","158774","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300063271","Mani sal pelado 75gx64x1","1642","123.15","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300062585","Lays Mostaza 77gx28","1194","91938","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300061023","Mani Pelado 135gx40x1","704","95.04","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300061030","Mani Sal Con Piel 75gx64x1","601","45075","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300061021","Maniax Japones Jamon 95gx40x1","459","43605","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052643","Mani Con Piel 150gx30","394","59.1","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300058720","Pep Ramitas Queso 120gx21","3284940","45.48","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052821","Pep Comun 120grx21","308","36.96","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300061020","Maniax Japones Sal 95gx40x1","255","24225","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060201","Tostitos 77gx26","170","13.09","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060869","Maniax Sal Y Limon 95gx60x1","135","12825","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300053043","Maniax Aji Y Limon 110gx56","58","6.38","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052622","Mani Pelado 85gx58","28","2.38","Gold/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300059545","Doritos Queso 40gx70x1","12474","498.96","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300059432","Lays Clasicas 40gx68x1","6956","278.24","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300059433","Cheetos Queso 43gx70x1","6580","282.94","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300058395","3d Queso 43gx75x1","6086","261698","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052757","Pep Rueditas 74grx36","5581","412994","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300062698","Doritos Dinamita Fh 33gx110x1","4468","147444","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300061011","Cheetos Queso Crema 43gx66","2374","102082","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300033489","Pep Rueditas 40gx60 Pi","1725","69","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300059801","Lays Ondas Fh 30gx72","1302","39.06","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052820","Pep Comun 84grx36","729","61236","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300058721","Pep Ramitas Queso 84gx36","679","57036","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300059431","Lays Jamon Serrano 34gx72","589","20026","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300050336","Cheetos 23grx108","437","10051","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300051988","Lays Clasicas 20grx76","416","8.32","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052023","3d Mega Queso Pc Dts 23grx120","3284940","8648","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300059430","Lays Queso Y Cebolla 34gx72","342","11628","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300058740","Pep Ramitas Queso 40gx60","172","6.88","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300062045","Lays Provoleta 34gx72x1","154","5236","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060354","Lays Ketchup 34gx72x1","150","5.1","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300033488","Pep Comun 40gx60 Pi","3284940","5.52","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300062122","Lays Mostaza 34gx72x1","3284940","0.306","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300059547","Doritos Queso 40gx58x1 Ch","4","0.16","Platinum/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052758","Pehuamar Maicitos 125gx16","3888","486","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060190","Doritos Queso 129gx19","3284940","360813","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060193","Lays Clasicas 134gx19x1","2071","277514","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052667","Pehuamar Acanalada 80gx25","1366","109.28","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052656","Pehuamar Paliqueso 90gx36","3284940","107.82","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060094","Pehuamar Paliqueso 165gx21x1","1162","191.73","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060198","Pehuamar Papa Lisa 75gx28x1","1132","84.9","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300058397","3d Queso 143gx18x1","1036","148148","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060662","Cheetos Ques0 140gx18x1","842","117.88","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300052790","Pehuamar Palisal 90gx36","729","65.61","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060092","Pehuamar Palisal 165gx21x1","588","97.02","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060097","Pehuamar Papa Acana 135gx19","302","40.77","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060196","Pehuamar Papa Lisa 135gx19x1","188","25.38","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060080","Lays Jamon Serrano 122gx19","131","15982","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060191","Doritos Queso 200gx14","110","22","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060194","Lays Clasicas 230gx14x1","70","16.1","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060199","Tostitos 129gx19","61","7869","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300061022","Mani Pelado 320gx17x1","50","16","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300054910","Doritos Queso 220gx14","42","9.24","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060231","Lays Clasicas 330gx9","36","11.88","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060663","Cheetos Queso 229gx12x1","35","8015","Silver/Salty","Salty"
"LEGOS S.R.L","GBA Norte","300060200","Tostitos 200gx14","","3","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300058444","Quaker Avena Instant 18x280g Arg","1007","281.96","Silver/Cereals","Cereals"
"BARASI HNOS SA","Centro y Cuyo","300051955","Quaker Avena Tradic 18x280g","579","162.12","Silver/Cereals","Cereals"
"BARASI HNOS SA","Centro y Cuyo","300030737","Quaker Barra Frutilla Con Crema 180gx20","422","12.66","Silver/Cereals","Cereals"
"BARASI HNOS SA","Centro y Cuyo","300051958","Quaker Avena Extra Fina 18x470g","","158.39","Silver/Cereals","Cereals"
"BARASI HNOS SA","Centro y Cuyo","300058445","Quaker Avena Instant 18x500g Arg","211","105.5","Silver/Cereals","Cereals"
"BARASI HNOS SA","Centro y Cuyo","300030738","Quaker Barras Mousse De Choco 156gx20","179","4654","Silver/Cereals","Cereals"
"BARASI HNOS SA","Centro y Cuyo","300030736","Quaker Barra Chispas De Choco 156gx20","153","3978","Silver/Cereals","Cereals"
"BARASI HNOS SA","Centro y Cuyo","300058446","Quaker Avena Tradic 18x550g Arg","124","68.2","Silver/Cereals","Cereals"
"BARASI HNOS SA","Centro y Cuyo","300052629","Quaker Cereales Honey Nut Oats 9x190g","3","0.57","Silver/Cereals","Cereals"
"BARASI HNOS SA","Centro y Cuyo","300052628","Quaker Cereales Honey Graham 9x190g","1","0.19","Silver/Cereals","Cereals"
"BARASI HNOS SA","Centro y Cuyo","300063098","Twistos Minit Jamon 95gx30x1","8426","800.47","Gold/Crakers","Crakers"
"BARASI HNOS SA","Centro y Cuyo","300063097","Twistos Minit Queso 95gx30x1","4366","414.77","Gold/Crakers","Crakers"
"BARASI HNOS SA","Centro y Cuyo","300052695","Twistos Minit Queso 100gx30","3316","331.6","Gold/Crakers","Crakers"
"BARASI HNOS SA","Centro y Cuyo","300052696","Twistos Minit Queso 40gx84","5776","231.04","Platinum/Crakers","Crakers"
"BARASI HNOS SA","Centro y Cuyo","300063264","Twistos Minit Jamon 40gx112x1","4171","166.84","Platinum/Crakers","Crakers"
"BARASI HNOS SA","Centro y Cuyo","300063263","Twistos Minit Queso 40gx112x1","2077","83.08","Platinum/Crakers","Crakers"
"BARASI HNOS SA","Centro y Cuyo","300052698","Twistos Minit Jamon 40gx84","","80.6","Platinum/Crakers","Crakers"
"BARASI HNOS SA","Centro y Cuyo","300060096","Pehuamar Acanalada 485x9","429","208065","Bronze/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300062972","Pehuamar maicitos 265gx10x1","239","63335","Bronze/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300062973","Pehuamar acanalada 230gx14x1","27","6.21","Bronze/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060095","Pehuamar Papa Lisa 485gx9","20","9.7","Bronze/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060197","Pehuamar Papa Lisa 230gx14x1","14","3.22","Bronze/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060192","Doritos Queso 77gx26","328494","25294038","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060195","Lays Clasicas 85gx25x1","23580","2004.3","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060664","Cheetos Queso 85gx24x1","13780","1171.3","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060661","3d Queso 85gx27x1","13200","1122","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300062697","Doritos Dinamita Fh 70gx44x1","11887","832.09","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060230","Lays Jamon Serrano 77gx28","9428","725956","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060098","Lays Queso Y Cebolla 77gx28","9271","713867","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300062584","Lays Provoleta 77gx28x1","6404","493108","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300059811","Lays Ondas Fh 70gx28","5457","381.99","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300061010","Cheetos Queso Crema 85gx24","5046","428.91","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300062585","Lays Mostaza 77gx28","3405","262185","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300063271","Mani sal pelado 75gx64x1","1764","132.3","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060099","Lays Ketchup 77gx28x1","712","54824","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060201","Tostitos 77gx26","680","52.36","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300061023","Mani Pelado 135gx40x1","469","63315","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300058720","Pep Ramitas Queso 120gx21","335","40.2","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300052756","Pep Rueditas 120grx21","3284940","29.64","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300061030","Mani Sal Con Piel 75gx64x1","160","12","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300061021","Maniax Japones Jamon 95gx40x1","","14.44","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300052821","Pep Comun 120grx21","92","11.04","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300053043","Maniax Aji Y Limon 110gx56","68","7.48","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300061020","Maniax Japones Sal 95gx40x1","61","5795","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060459","D0rit0s Qu3s0 77gx17 Exp Arg","59","4543","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300052643","Mani Con Piel 150gx30","17","2.55","Gold/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300059545","Doritos Queso 40gx70x1","27551","1102.04","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300059432","Lays Clasicas 40gx68x1","22556","902.24","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300033489","Pep Rueditas 40gx60 Pi","17877","715.08","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300058395","3d Queso 43gx75x1","3284940","507099","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300059433","Cheetos Queso 43gx70x1","10765","462895","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300062698","Doritos Dinamita Fh 33gx110x1","6377","210441","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300059801","Lays Ondas Fh 30gx72","3858","115.74","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300061011","Cheetos Queso Crema 43gx66","3844","165292","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300062122","Lays Mostaza 34gx72x1","2113","71842","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300062045","Lays Provoleta 34gx72x1","1212","41208","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300051988","Lays Clasicas 20grx76","1167","23.34","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300052023","3d Mega Queso Pc Dts 23grx120","1005","23115","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300059431","Lays Jamon Serrano 34gx72","808","27472","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300052757","Pep Rueditas 74grx36","746","55204","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300058721","Pep Ramitas Queso 84gx36","737","61908","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300059430","Lays Queso Y Cebolla 34gx72","522","17748","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300058740","Pep Ramitas Queso 40gx60","433","17.32","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300052820","Pep Comun 84grx36","427","35868","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300050336","Cheetos 23grx108","","8671","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300033488","Pep Comun 40gx60 Pi","314","12.56","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060354","Lays Ketchup 34gx72x1","165","5.61","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300059547","Doritos Queso 40gx58x1 Ch","43","1.72","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300059867","Doritos Dinamita Fh 33gx40x1 Ex Arg","5","0.165","Platinum/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060190","Doritos Queso 129gx19","5530","713.37","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060193","Lays Clasicas 134gx19x1","4304","576736","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300052667","Pehuamar Acanalada 80gx25","3839","307.12","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300058397","3d Queso 143gx18x1","1628","232804","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060662","Cheetos Queso 140gx18x1","1416","198.24","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060198","Pehuamar Papa Lisa 75gx28x1","645","48375","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300052790","Pehuamar Palisal 90gx36","507","45.63","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300052656","Pehuamar Paliqueso 90gx36","491","44.19","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060199","Tostitos 129gx19","355","45795","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300052758","Pehuamar Maicitos 125gx16","194","24.25","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060200","Tostitos 200gx14","180","36","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060080","Lays Jamon Serrano 122gx19","117","14274","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060194","Lays Clasicas 230gx14x1","3284940","14.26","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300054910","Doritos Queso 220gx14","60","13.2","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060097","Pehuamar Papa Acana 135gx19","49","6615","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060092","Pehuamar Palisal 165gx21x1","39","6435","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060191","Doritos Queso 200gx14","31","6.2","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060094","Pehuamar Paliqueso 165gx21x1","19","3135","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060196","Pehuamar Papa Lisa 135gx19x1","3284940","1215","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060231","Lays Clasicas 330gx9","2","0.66","Silver/Salty","Salty"
"BARASI HNOS SA","Centro y Cuyo","300060663","Cheetos Queso 229gx12x1","2","0.458","Silver/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300058445","Quaker Avena Instant 18x500g Arg","507","253.5","Silver/Cereals","Cereals"
"NEUQUEN S.R.L","Atlantico y Cordillera","300058444","Quaker Avena Instant 18x280g Arg","506","141.68","Silver/Cereals","Cereals"
"NEUQUEN S.R.L","Atlantico y Cordillera","300051958","Quaker Avena Extra Fina 18x470g","304","142.88","Silver/Cereals","Cereals"
"NEUQUEN S.R.L","Atlantico y Cordillera","300030737","Quaker Barra Frutilla Con Crema 180gx20","300","9","Silver/Cereals","Cereals"
"NEUQUEN S.R.L","Atlantico y Cordillera","300051955","Quaker Avena Tradic 18x280g","278","77.84","Silver/Cereals","Cereals"
"NEUQUEN S.R.L","Atlantico y Cordillera","300058446","Quaker Avena Tradic 18x550g Arg","241","132.55","Silver/Cereals","Cereals"
"NEUQUEN S.R.L","Atlantico y Cordillera","300030736","Quaker Barra Chispas De Choco 156gx20","168","4368","Silver/Cereals","Cereals"
"NEUQUEN S.R.L","Atlantico y Cordillera","300030738","Quaker Barras Mousse De Choco 156gx20","3284940","3692","Silver/Cereals","Cereals"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052628","Quaker Cereales Honey Graham 9x190g","58","11.02","Silver/Cereals","Cereals"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052629","Quaker Cereales Honey Nut Oats 9x190g","38","7.22","Silver/Cereals","Cereals"
"NEUQUEN S.R.L","Atlantico y Cordillera","300063098","Twistos Minit Jamon 95gx30x1","10585","1005575","Gold/Crakers","Crakers"
"NEUQUEN S.R.L","Atlantico y Cordillera","300063097","Twistos Minit Queso 95gx30x1","7102","674.69","Gold/Crakers","Crakers"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052695","Twistos Minit Queso 100gx30","169","16.9","Gold/Crakers","Crakers"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052867","Twistos Minit Jamon 100gx30","66","6.6","Gold/Crakers","Crakers"
"NEUQUEN S.R.L","Atlantico y Cordillera","300063264","Twistos Minit Jamon 40gx112x1","504","20.16","Platinum/Crakers","Crakers"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052696","Twistos Minit Queso 40gx84","491","19.64","Platinum/Crakers","Crakers"
"NEUQUEN S.R.L","Atlantico y Cordillera","300063263","Twistos Minit Queso 40gx112x1","171","6.84","Platinum/Crakers","Crakers"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052697","Twistos Minit Jamon 155gx20","3882","601.71","Silver/Crakers","Crakers"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052694","Twistos Minit Queso 155gx20","2453","380215","Silver/Crakers","Crakers"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060095","Pehuamar Papa Lisa 485gx9","12159","5897115","Bronze/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300062972","Pehuamar maicitos 265gx10x1","9420","2496.3","Bronze/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060096","Pehuamar Acanalada 485x9","6577","3189845","Bronze/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060091","Pehuamar Palisal 620gx6x1","1103","683.86","Bronze/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060093","Pehuamar Paliqueso 620gx6x1","848","525.76","Bronze/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060197","Pehuamar Papa Lisa 230gx14x1","","177.33","Bronze/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300062973","Pehuamar acanalada 230gx14x1","575","132.25","Bronze/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052665","Pehuamar Acanalada 245gx14","345","84525","Bronze/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060195","Lays Clasicas 85gx25x1","24015","2041275","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060192","Doritos Queso 77gx26","19013","1464001","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300062697","D0rit0s Dinamita Fh 70gx44x1","18453","1291.71","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300059811","Lays Ondas Fh 70gx28","12725","890.75","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060230","Lays Jamon Serrano 77gx28","11228","864556","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060661","3d Queso 85gx27x1","10234","869.89","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060664","Cheetos Queso 85gx24x1","9777","831045","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060098","Lays Queso Y Cebolla 77gx28","7559","582043","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300062584","Lays Provoleta 77gx28x1","3590","276.43","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060099","Lays Ketchup 77gx28x1","3261","251097","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052756","Pep Rueditas 120grx21","2770","332.4","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300061023","Mani Pelado 135gx40x1","2366","319.41","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300061010","Cheetos Queso Crema 85gx24","2228","189.38","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300062585","Lays Mostaza 77gx28","2209","170093","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052821","Pep Comun 120grx21","1890","226.8","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300061030","Mani Sal Con Piel 75gx64x1","1294","97.05","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300053043","Maniax Aji Y Limon 110gx56","1087","119.57","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300061021","Maniax Japones Jamon 95gx40x1","1064","101.08","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052622","Mani Pelado 85gx58","925","78625","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060201","Tostitos 77gx26","3284940","66759","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060869","Maniax Sal Y Limon 95gx60x1","776","73.72","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300058720","Pep Ramitas Queso 120gx21","759","91.08","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052643","Mani Con Piel 150gx30","693","103.95","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300061020","Maniax Japones Sal 95gx40x1","679","64505","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300058394","3d Queso 92gx27x1","36","3312","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052640","Mani Pelado 110gx40","32","3.52","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300052641","Mani Pelado 150gx30","31","4.65","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060459","Doritos Queso 77gx17 Exp Arg","26","2002","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300047036","Maniax Mani Japones Sal 110gx36","14","1.54","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300047496","Maniax Mani Japones Jamon 110gx36","8","0.88","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300059753","Doritos Dinamita Fh 70gx64x1 Ex Arg","6","0.42","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300060232","Lays Cheddar 77gx28","3","0.231","Gold/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300059545","Doritos Queso 40gx70x1","6483","259.32","Platinum/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300059432","Lays Clasicas 40gx68x1","5531","221.24","Platinum/Salty","Salty"
"NEUQUEN S.R.L","Atlantico y Cordillera","300062698","Doritos Dinamita Fh 33gx110x1","5356","176748","Platinum/Salty","Salty"
